世界最古の人類を何というか。カタカナで答えなさい。,サヘラントロプスチャデンシス
アフリカで発見された最古の人類の種別を何というか。漢字で答えなさい。,猿人
人類とその他の動物との違いとして後ろ足２本で立って歩けることを何というか。,直立二足歩行
猿人から進化を遂げて、火や言葉を使えるようになった人類を何というか。,原人
猿人との違いとして原人が使えるようになったものは言葉と何か。,火
猿人との違いとして原人が使えるようになったものは火と何か。,言葉
原人や猿人が用いたと考えられる、石を打ち割って作る道具を何というか。,打製石器
打製石器を使って狩猟採集生活を送っていた時代を何というか。,旧石器時代
現在の人類の直接の祖先と考えらる人種を何というか、漢字で答えなさい。,新人
現在の人類の直接の祖先と考えらる人種を何というか、カタカナで答えなさい。,ホモサピエンス
古代の人々が、自分たちの子孫に残したと考えられる洞窟壁画が残されているフランスの町はどこか。,ラスコー
氷期が終わり、狩猟採集生活から農耕牧畜生活へと変化した時代を何というか。,新石器時代
新石器時代に使われていた、石をみがいて作る道具を何というか。,磨製石器
新石器時代に入り、生産した作物を貯蔵したり煮炊きするために用いた道具とは何か。,土器
４大文明の共通点は、文字と何があることか答えなさい。,金属器
４大文明の共通点は、金属器と何があることか答えなさい。,文字
古代文明で主に用いられた銅と錫の混合物で作られた金属を何というか。,青銅
メソポタミア文明が誕生したのはチグリス川と何川の間か。,ユーフラテス川
メソポタミア文明が誕生したのはユーフラテス川と何川の間か。,チグリス川/ティグリス川
チグリス川とユーフラテス川の間で誕生した文明とは何か。,メソポタミア文明
メソポタミア文明で用いられた文字とは何か。,くさび形文字
メソポタミア文明で用いられた暦を何というか。,太陰暦
メソポタミア文明で用いられた数の数え方を何というか。,６０進法
メソポタミア文明で作られた「目には目をなどの決まりを持つ法を何というか。,ハンムラビ法典
紀元前３０００年ごろにナイル川流域に誕生した文明とは何か。,エジプト文明
エジプト文明が誕生したのは何川流域か。,ナイル川
古代エジプトでは王の事を何と呼んだか。,ファラオ
古代エジプトの王たちの墓と考えられているものは何か。,ピラミッド
エジプト文明で用いられた文字を何というか。,象形文字
古代エジプトで用いられた暦を何というか。,太陽暦
古代エジプトで紙の代わりになっていたものを何というか。,パピルス
紀元前２５００年ごろにインダス川流域で誕生した文明とは何か。,インダス文明
インダス文明の遺跡と考えられている、排水施設とレンガ造りの建築物が見られる遺跡とは何か。,モヘンジョダロ
中央アジアから流入し、インド周辺を支配して厳しい身分制度などをひいた民族とは何人か,アーリヤ人
インダス文明で用いられた文字だと考えられている印に彫られた文字を何というか。,インダス文字
紀元前２５００年ごろにインダス文明が誕生した場所とはどこか,インダス川
紀元前１５００年ごろ黄河流域で誕生した文明を何というか。,中国文明
現在確認されている中で中国最古の王朝とされているものは何か。,殷
中国文明で使用されたと考えられる、亀の甲羅や牛の骨などに彫られた文字を何というか。,甲骨文字
周が滅亡後、戦乱の時期に仁の心や礼の振る舞いなどにより国はおさまると説いた人物は誰か。,孔子
